commit_hash,label,commit_hour,commit_day_of_week,message_length,avg_line_length,snake_case_ratio,camelCase_ratio,comment_ratio,files_changed_count
eae44e465b4bdd9440dbfa6e0c5bc45fd2c60ed8,florentx,18,1,14,14.0,0.0,0.0,0.0,1
af3b73f70d5fce72181530d384519ae31d77c772,Armin Ronacher,19,1,16,16.0,0.0,0.0,0.0,1
3053fcdb0d6189ad1deca6fcfa16443dad4baf8c,Armin Ronacher,20,1,87,28.333,0.0,0.0,0.0,3
f6b9efc1e9b94382b877c0d1ebe87956b78d012f,Armin Ronacher,20,1,24,24.0,0.0,0.0,0.0,1
260b4dfe61cd35373eb4993453b500e1db71a753,Armin Ronacher,20,1,41,41.0,0.0,0.0,0.0,3
00f87f679cdd63b642675d86d073882fb8b19430,Armin Ronacher,21,1,59,59.0,0.0,0.0,0.0,2
9cf2ea2abc5243d50c87612714904c6cb033f7cc,Armin Ronacher,21,1,27,27.0,0.0,0.0,0.0,1
9d340ad7477774a19a7bdffc83d6cb8cb3e05edc,florentx,22,1,41,41.0,0.0,0.0,0.0,2
c0d3b6c3710025abb482b30d2f2b6e39a6934fa9,florentx,22,1,6,6.0,0.0,0.0,0.0,0
7cf5a9bf6e34fc57f82e560f01c408fbe603e9d4,florentx,0,2,68,68.0,0.0,0.0,0.0,1
b6e73305392c9de052e51cca6fae8fee12ae231e,florentx,1,2,60,60.0,0.0,0.0,0.0,2
f014ce29a7cd5a3ccfabd61e7d66e017ed958e25,florentx,4,2,41,41.0,0.0,0.0,0.0,2
3eacc1d06816b2544e0242665fe909b24b027b21,florentx,6,2,68,68.0,0.0,0.0,0.0,1
dbe0df756bf587b242f2406bef9e7e8ef26f0813,florentx,7,2,60,60.0,0.0,0.0,0.0,2
7e8019565f79e157fcc13cf285247070d69ef889,Armin Ronacher,10,2,34,34.0,0.0,0.0,0.0,1
d73be4b709ab881ae15b9bd1064b16820f98a51b,Armin Ronacher,17,2,28,28.0,0.0,0.0,0.0,1
3261357ba7f59e2eabeb96127b6253d1466b4db0,Armin Ronacher,18,2,61,61.0,0.0,0.0,0.0,6
1cb75df8f1f9e7a768254fe2c9e2997f21152665,Armin Ronacher,18,2,46,46.0,0.0,0.0,0.0,1
ebb07a06567d72acf47b3ee5553053216f978305,Armin Ronacher,21,2,15,15.0,0.0,0.0,0.0,1
be15340e0f65e8785aff3033f0b2732ae31c6b81,Armin Ronacher,21,2,36,36.0,0.0,0.0,0.0,1
dc3f13df54ba91649ecec2bdee6c24ca31a400a8,Armin Ronacher,12,4,46,46.0,0.0,0.0,0.0,1
88f671aaaef334caf3231095b119cac094ff5ffb,Armin Ronacher,16,4,19,19.0,0.0,0.0,0.0,1
a862ead5f22f9d4592c1c85bda285a4ded59b631,Armin Ronacher,16,4,23,23.0,0.0,0.0,0.0,2
444e6425312a16589130ff36f2830b6f97fbbd4f,Armin Ronacher,16,4,23,23.0,0.0,0.0,0.0,1
e0148a00c0f468784052926f80e8112be7686470,Armin Ronacher,17,4,61,61.0,0.0,0.0,0.0,2
5c52fe980eda6065edcc39e6dd346636b1c40768,Armin Ronacher,17,4,51,51.0,0.0,0.0,0.0,2
2f181e19496a1fe693d9b20260fe961bb406c53b,Armin Ronacher,17,4,37,37.0,0.25,0.0,0.0,1
67f4b0f31538832f06b9351d15e30c85f449ac7e,Armin Ronacher,17,5,135,33.0,0.0,0.0,0.0,2
c0a9f5d0c4f09dbe8b744609552cbbfa9f14fbc0,Armin Ronacher,17,5,50,50.0,0.0,0.0,0.0,2
ef34638f5d24c07a5582cbb60755fd4dfbec9a79,Armin Ronacher,17,5,62,20.0,0.0,0.0,0.0,2
5144d3b65a564c148e6ea12969303f58d137449b,Armin Ronacher,17,5,41,41.0,0.0,0.0,0.0,4
